,Artist,Song,Lyrics,Sentiment
1506,Al Bano & Romina Power,E fu subito amore,fu subito fin dai primi maggio poche parole sembra ieri pensandoci strani giochi compagno giochi adorabile detto guardandomi ricordo quei giorni fino all'alba bambole antiche sorridevano corti vestiti prati fioriti distesi vento ridavano libert rivivrei anch'io rivivrei anch'io rivivrei primo fiore d'inverno nuovo ruolo notti insonni ascoltando carillon suonavano passato ricordo risate pianto favola ricordo quegli anni quante giuste canzoni quante maschere giro sola vicino solitudine cent'anni pochi vivessi nuovo risceglierei rivivrei anch'io rivivrei anch'io rivivrei fu subito fin dai primi maggio poche parole sembra ieri pensandoci solitudine cent'anni pochi vivessi nuovo risceglierei rivivrei anch'io rivivrei rivivrei rivivrei anch'io rivivrei,Negative
1507,Al Bano & Romina Power,Ѐ la mia vita,alzo fuori piena esco toccare terra un'altra scordare capire senso silenzio pregare forte dolore sale farmi vento placa momento lascia tanto freddo tanta povert pensiero seguendo volo quale andare arriver quanto lei passa andr rientro fossi clown lentamente prendo disegnare cerchio rosso sorriso bianca sul viso nuovamente pronto ricominciare pensiero seguendo volo quale andare arriver quanto lei passa andr passa andr,Neutral
1508,Al Bano & Romina Power,E un miracolo,miracolo vedo bello giusto miracolo guardo coi vedo ch' felice dice pace testo uno sente deve esporre guardo intorno parla molto bene dire verit bisognerebbe lasciati andare vero verso cambier sveglio miracolo miracolo vive separazione totale indipendenza pensa sostanza nell'unione elementi radici vibrazioni dai all'amore idee universali verso cambier sveglio miracolo miracolo verso cambier figlio avuto miracolo miracolo,Neutral
1509,Al Bano & Romina Power,Felice Natale,natale festa soffre natale speriamo felice vecchi nascer felice natale buon anno guerra follia natale deboli poveri ricchi amando pu buon natale indios bianchi neri pace pu felice natale buon anno guerra follia natale festa soffre natale speriamo felice vecchi nascer felice natale buon anno guerra follia,Neutral
1510,Al Bano & Romina Power,Felicità,felicit tenersi mano andare felicit sguardo innocente mezzo alla felicit restare vicini bambini felicit felicit felicit cuscino piume l'acqua fiume passa pioggia scende dietro alle tende felicit abbassare pace felicit felicit felicit bicchiere vino panino felicit lasciarti biglietto cassetto felicit cantare voci quanto piace felicit felicit nell'aria nostra canzone d'amore pensiero felicit nell'aria raggio caldo sorriso felicit felicit sera sorpresa accesa biglietto d'auguri pieno cuori felicit telefonata aspettata felicit felicit felicit spiaggia l'onda parte felicit mano sul piena d'amore felicit aspettare l'aurora farl'ancora felicit felicit nell'aria nostra canzone d'amore pensiero felicit nell'aria raggio caldo sorriso felicit nell'aria nostra canzone d'amore pensiero felicit,Neutral
1511,Al Bano & Romina Power,Fotografia,fotografia onde fotografia guarda verso compagnia cantare fotografia cos' cos' tuffo indietro dedica com'eravamo buffi quella magica domenica rinchiusa polaroid c'era moda ridicola l'estate ' quella spiaggia pellicola primi baci fotografia onde fotografia guarda verso compagnia cantare fotografia cos' lei vola fermare fotografia momento tuffo indietro brivido com'eravamo giusti spesso intrepido cambia quella macchina trabiccolo pazzi diventava piccolo l'estate,Neutral
1512,Al Bano & Romina Power,Fragile,stasera arriverai scaverai roccia corpo l'aria calda intorno respiro perdo nell'immenso stanza fiume piena travolgi forte l'hai reso invece bimbo difese salvare respiri sentirai pazza storia racconta forte quella spia gia l'alba nascera braccia scuri sguardo chiaro sul corpo avventuro cerco quella strada cha uragano trascini forte l'hai reso invece bimbo difese salvare fiore prima neve bimbo,Neutral
1513,Al Bano & Romina Power,Gli innamorati,innamorati vivono d'amore li vedi camminate muore innamorati fanno progetti li vedi abbracciati quei sogni perfetti tre soldi baci bicchiere sanno ama pu cadere sotto portone nascondono bugie oppure strade ascoltano poesie romina guardano silenzio credono sul aeroplani sembrano volare dipingono d'azzurro intorno loro innamorati capolavoro innamorati somigliano all'amore danno appuntamento sui petali innamorati fanno progetti quei loro sogni sentono protteti ascoltano incantati storie violino scrivono sul libro latino romina innamorati riparo adamo eva diriggono sul melo innamorati eterno volte finisce qualcuno muore innamorati proprio loro innamorati capolavoro,Neutral
1514,Al Bano & Romina Power,Grazie,grazie negli mattina viso sincero bambina aver cancellato quel'che ero prima romina grazie silenzio sente innamorarti bacio abbraccio parti alla gioia provo pensarti grazie inverno sta fermo sincero certe volte sembra vero grazie altro desiderio averti intorno delle mani faccia dolcezza nelle braccia romina grazie musica dolce nei passi fiori cresciuti mezzo sassi avere sorriso cogli rossi grazie alle notti tarda primavera alla calma dopo bufera all'amore nasce vera grazie inverno sta fermo sincero certe volte sembra vero grazie altro desiderio averti intorno delle mani faccia dolcezza nelle braccia grazie volte finto capire cose detto dire molto grazie devo dire grazie inverno sta fermo sincero certe volte sembra vero grazie altro desiderio averti intorno delle mani faccia dolcezza nelle braccia,Negative
1515,Al Bano & Romina Power,Il ballo del Qua Qua,ballo quaqua papero quaquaqua quaquaqua mamma papero pap mani fan quaqua piuma vola qua ginocchia piega scodinzola batti forte mani quaqua salto vai ali torna qua novit quaquaqua prendi sotto braccio felicit basta aver coraggio all'arrembaggio col quaquaqua balla ballo quaqua papero quaquaqua quaquaqua forza braccetto tre tre attenzione gran quaqua stai fronte ballo bacio voler papero figura sicuro sembrer baccal prendi sotto braccio felicit basta aver coraggio all'arrembaggio col quaquaqua ballo quaqua papero quaquaqua quaquaqua ali vai salto torna qua mossa quaqua ballo quaqua continua bel finir quaqua ormai moda qua batti forte mani quaqua prendi sotto braccio felicit basta aver coraggio all'arrembaggio col quaquaqua ballo quaqua papero quaquaqua quaquaqua mamma papero pap mani fan quaqua piuma vola qua ginocchia piega scodinzola batti forte mani quaqua salto vai ali torna qua novita'il quaquaqua,Positive
1516,Al Bano & Romina Power,Il bambino non è più Re,ricordo caldo fuoco camino d'inverno chiacchierare padre perfetto contadino raccontava fiabe sognare regista fantasia casa magico restare volavi fino diceva bambino divenne re bambino divenne re bambino divenne re bambino divenne re bambino divenne re l'espresso levante vento suonava sui binari triste canto fuoco camino ormai spento delle fiabe rimpianto trovai selva scura citt vecchio saggio domandai bambino divenne re societ societ mezzo parchi lupo scimmia sui prati uomo uomo mentre vola intorno cambiato ruolo madre tv racconti belli lieto bambino divenne re bambino divenne re bambino divenne re bambino divenne re bambino divenne re,Neutral
1517,Al Bano & Romina Power,Il covo delle aquile,quattro falchi re servi seguirono sentieri ripidi covo delle aquile raggiunse verdi pascoli fermo fra alberi tre giorni mancavano covo delle aquile loro bagnavano ignare ali vergini ruscello limpido ridevano giocavano accorse re servi indic falchi libero lei pianse implorando inginocchio piedi suoi re nudo contro url ubbidisci re vuole scudi premio re getto servi applaudirono lei viso sputo servi ammutolirono re capi spada sguaino colpo vibro avanti incamminiamoci vi serva monito re raggiunse covo delle aquile,Neutral
1518,Al Bano & Romina Power,Il piccolo tamburino,tamburino pa ra pa pam pam vieni pa ra pa pam pam strada lunga pa ra pa pa pam corta pa ra pa pam pam ra pa pam pam ra pa pam pam suonerai pa ra pa pam pam nato ges ges disse pa ra pa pam pam anch'io povero pa ra pa pam pam regali pa ra pa pam pam degni vero r pa ra pa pam pam ra pa pam pam ra pa pam pam suoner pa ra pa pam pam ges sorrise pa ra pa pam pam schiar pa ra pa pam pam stella scese pa ra pa pam pam scald pa ra pa pam pam ra pa pam pam ra pa pam pam suon pa ra pa pam pam,Neutral
1519,Al Bano & Romina Power,Il poeta (Yunus Emré),yunus emre dedi yunus emre dedi sail bride dressed whoever possesses yunus ears yunus emre dedi yunus emre dedi sail dico nome volti accendono leva vento canta eri leggenda realt dovunque eri nei cuori fiori camminerai leggenda realt fondono sopra yunus emre dedi yunus emre dedi sail yunus emre dedi yunus emre dedi sail grip slip wealth decay destiny eagles conosco incredibile divori santi piet yunus emre dedi yunus emre dedi sail yunus emre dedi yunus emre dedi sail yunus emre dedi yunus emre dedi sail,Neutral
1520,Al Bano & Romina Power,Impossibile,narrow sunny summers creeping sto vivendo ansiet anni oscurit vivrei impossibile forte incredibile breathing salty shape tables sto cercando accendere gioco col fuoco dato impossibile forte incredibile impossibile impossibile forte incredibile,Neutral
1521,Al Bano & Romina Power,Incredibile appuntamento,nell'aria c'era odore scirocco limone caff nei campi c'era grano maturo ulivi erano fiore c'era volo aquiloni giocavano col blu battito casa l'orologio batte passa squillo telefono m'illude fuori lunga quest'attesa aspettarti tormenta arriverai stringer amer giuro amer ringrazier volta potr scesa angelo appuntamento incredibile bellissima pelle color miele rarit col sorriso tenero toccare vero siamo tanti stai certa posto sue braccia aprir viaggeremo risate pianti feste t'insegner difenderti capire nostra umanit volerai chiamerai amer giuro amer ringrazier volta potr scesa angelo appuntamento incredibile volerai chiamerai,Neutral
1522,Al Bano & Romina Power,Indian boy,fiero giovane eta volt tipico cavalc oltre distese contro blu sua trib indian trov fronte nuova realta cap mille facce citta libert paga caro prezzo indian civilt lontana indian successo piace l'aquila vive morira abbandonare loro hanno dato cio cristallo puro venderai ritorn lasciando alle sue spalle smog volt uomo forte puo nell'aria sent canto sua madre grid e' tornato indian,Neutral
1523,Al Bano & Romina Power,In сontroluce,nessuna nessuna cheri pigramente vecchio fiume scivolava stupenda controluce diventavi nessuno amavi nessuno sognavi abbandonavi cheri trovato nessuna nessuna nessuna cheri pigramente vecchio fiume scivolava stupenda controluce diventavi nessuno amavi nessuno sognavi abbandonavi cheri trovato nessuna nessuno nessuno cheri,Neutral
1524,Al Bano & Romina Power,Io ti cerco,romina nei colori dell'arcobaleno silenzio sereno gabbiani nelle scie degli aeroplani cerco fra stelle nevi foreste montagna strade pulite campagna rose giardini nei sorrisi bambini cerco strada romina nei vulcani ardono calore stretta mano sguardo solare pace verr cerco nascer version sorger m'innalzo volo cantando coro seguo vivendo amando seguo volo nei torrenti danno l'acqua chiara calma lago verso sera pioggia scende lentamente cerco l'acqua scorrer nelle nenie popoli lontani coro offre preghiera sulla fronte negli soffre cerco uomo nascer sulla fronte negli soffre cerco uomo nascer sung version,Neutral
1525,Al Bano & Romina Power,It's forever,raindrops cammino sotto pioggia bagno chiama signorina prima shopping museum cappuccino piazza lovers piedi nudi parco quei peynet bella s' foreversignorina foreverpi prima sunset paints wonderful posso dirti wonderful chiama signorina prima,Positive
1526,Al Bano & Romina Power,L'amore è,piccola parola magari rosa canzone vestito sposa motivo d'attesa espressione innocente indifesa continua diversa eccitante sorpresa stella brilla incendio scintilla desiderio essere bella ricordarsi data importante immenso rosso abbagliante sentirti vicina distante tutte cose diffetti tutte gioie dai l'unica ragione provare verde vallata cannucce sola aranciata tornare casa inventare bella serata volerti bene dopo stiamo piena cose importanti uniti tiene,Neutral
1527,Al Bano & Romina Power,La mia solitudine,solitudine scesa nebbia solitudine scesa all'improvviso voto speranza chiss solitudine voglia pregare fondo all'anima ripenso sorride chiss intorno parla momento averti volto triste forse pensi accanto nelle favole solitudine silenzio penso passato accorgo dovevo andare voto speranza vederti tornare averti volto triste forse pensi accanto nelle favole,Neutral
1528,Al Bano & Romina Power,Le mie radici,mie radici vento mura citt grandi blocchi cemento invece acceso pubblicit cammino guarda avanti indifferente azzardi buongiorno succeder verso sera voglia uscire devo dirti sto molto prigionieri sogna prigionieri nuovi tab chiedi aiuto nessuno sta chiami qualcuno eco verr prigionieri unera crea robot veri valori fal fortuna strada dov voglia c mie radici fra nebbia citt boschi antenne fiore mentre batte comodit dov laria pura dov prato verde quei bambini giocano strano futuro frutti d plastica avvolger prigionieri sogna prigionieri nuovi tab chiedi aiuto nessuno sta chiami qualcuno eco verr prigionieri unera crea robot veri valori fal fortuna strada dov voglia vincere,Neutral
1529,Al Bano & Romina Power,Libertà,scende sera sulle spalle uomo oltre suo segreto porter chiese sta cercando nome quanta torner libert quanti piangere quanta solitudine fino avr senso vivr avere libert coro s'alzer canter avere carta bianca sul dolore sulla pelle degli uomini cresce cinismo nei confronti degli umili nasce deboli silenzio voce rinascer cercando libert quanti piangere quanta solitudine fino avr senso vivr avere libert piangere quanta solitudine fino avr senso vivr avere,Neutral
1530,Al Bano & Romina Power,Love,romina siamo eroi valori guardi giro freddo vuole sentire africa calore vicino provare passo ballo ritmo batte fondo romina parade masquerade dire vuole sentire africa calore vicino provare passo ballo ritmo batte fondo,Neutral
1531,Al Bano & Romina Power,"Magic, oh magic",c musica strana vagamente italiana ciao caro amico ciao addio aspetti migliore pieno damore qualcuno accorga ciao sogni ciao tornerai pensando posto bambino fermavi giocare lei c musica strana vagamente italiana colora speranza linfinito stanza colpo quella stanza c c musica strana fata morgana ciao arrendi ciao ricomincerai cantando nuove parole camminando verso c c musica strana vagamente italiana colora speranza linfinito stanza colpo quella stanza c c musica strana fata morgana c musica strana vagamente italiana c musica strana fata morgana,Neutral
1532,Al Bano & Romina Power,"Mai, mai, mai",vestito bello anima corpo corre anima quella proprio troppo bella trascini corpo giusto anima quella proprio eppure amero nessuna eppure amero nessuna truccare anima aiutarti dici sorriso bello comprare dalla avrai anima proprio quella eppure amero nessuna dopo eppure amero nessuna dopo,Neutral
1533,Al Bano & Romina Power,Makassar,sale vento pelle asciugher spinger verso sud nave scivolando fretta arriver prima scoprir resta deve andare ama incanto migliore trovare makassar dagli cerca lasciare pensieri d'amore sotto makassar casbah perderai rupie spenderai bambini intrecciano fiori salvarti cercherai troverai vecchio seduto sta dietro fumo dello zen parler rinasci ama incanto migliore trovare makassar dagli cerca lasciare pensieri d'amore sotto makassar,Neutral
1534,Al Bano & Romina Power,Ma il cuore no,romina sta inquinando acque fiumi sta sparando uccello vola sta mangiando davanti fame lasciato sola gioco l'uomo voluto sto rifiuto sta dietro tira fili potere vendendo fucili sta sparando ragioni pelle d bacio colpirti alle spalle sta mettendo l'inferno paradiso vero colpire romina propone vendere vuole darti paradisi dolore sta comprando mente farne uomo l'uomo voluto sto rifiuto,Neutral
1535,Al Bano & Romina Power,Meditando,sbadigliando apro intorno rosa mattino quattro salti flessioni accorgo fame reclama camminando meta giro andr supermarket tanti confonder col grandangolo guarder fioraio canta suoi fiori rosa fontana acqua cristallina colombi sorso ascoltando bar juke box gelato cucciolo offrir molo biblioteca cinema festa oggi conceder problemi li infilo sacchetto calcio li butto vecchietto guarda sospetto strizza occhio meditando osserver aquiloni volano lass bambini fan pip sopra fal oggi divertir,Positive
1536,Al Bano & Romina Power,Na na na,planet circles waters flow aware changes meeting contact rewarding nicest giusto momento giusta avverto sensazione spinge voler giungla capelli quell'aria sogner prima ribelli esci dalla mischia vola often fuori dalla finestra gira sembra giostra sinistra destra parte,Positive
1537,Al Bano & Romina Power,Nel mondo,romina visto bambino quell'azzurro libro sull'amore letto visto bacio madre quelle labbra trovare gusto perdono trovare giusto visto vecchio giardino guardare fosse debitore sua visto cane gitano riva pane mano nell'altra sua libert romina visto mani bianche nere mani fiere stringersi forte unirsi segno lealt visto quanto corre pensa rinchiusi torre sfugge vedo mattina piove oltre nubi guarda chiedere rivedo mani bianche nere sguardi d'ogni cantare cose vere cantare realt,Neutral
1538,Al Bano & Romina Power,Nessun dorma,nessun dorma nessun dorma pure principessa fredda stanza guardi stelle tremano d'amore speranza mistero chiuso nome nessun sapr sulla bocca dir splender bacio scioglier silenzio nome suo nessun sapr dovrem ahim morir morir dilegua tramontate stelle tramontate stelle all'alba vincer,Neutral
1539,Al Bano & Romina Power,Non pensarci più,momenti cui delusione regina perche avrei voglia cambiare analizzando bene pensieri qualcosa avro sbagliato anch'io siamo persi trascurati pensarci piu pensarci piu momento balordo buttare pensarci piu pensarci piu lasciati andare lasciarmi lasciarmi spegne lasciarmi c'e motivo piu ricominciare saltando dall'inferno paradiso cambiava scenografia malati dolce malattia,Neutral
1540,Al Bano & Romina Power,Non piangere,piangere momenti cui solitudine avvolge uscirne facile intorno appare vuoto inutile credimi volevo prego scusami volte fretta dimentico fiore sorriso piu ascoltami diventi un'abitudine confine molto passo dall'incomprensibile diro solita routine sta cambiando ormai aiutami perche arrendermi modo avventure abbracciami pensare lasciarti impossibile diamo scontato neanche attimo perderci balliamo complicita musica confondi mente alibi rilassati rimani com,Neutral
1541,Al Bano & Romina Power,Non voglio perderti,perderti sarebbe follia gira ormai armonia ritrovo valori perdono perderti quella vincere noie banalit accendere momenti oscurit sveglio domenica festa dio vorr vino buono sorpresa avrai qualcosa inventer vedrai perderti identit dignit guasta tocco sensualit perderti basta fascino esplode disordine amici vanno stato bello rifarei soli oscurit e' giusto dirti perderti sarebbe follia gira fermo perderti,Neutral
1542,Al Bano & Romina Power,Nostalgia canaglia,cos' nodo gola assale cos' assurda solitudine cos' aironi volo libert invece qualcosa nostalgia nostalgia canaglia prende proprio ritrovi paglia incendio spegni nostalgia nostalgia canaglia strada amico bar paese sogna sbaglia chiedi chiss gira capire vai perdi un'avventura bella mentre dolce tarlo all'improvviso torner torner nostalgia nostalgia canaglia prende proprio ritrovi paglia incendio spegni nostalgia nostalgia canaglia strada amico bar paese sogna sbaglia chiedi,Neutral
1543,Al Bano & Romina Power,Notte a Сerano,cercai ero bambino profumo primavera dormivi accarezzata maestrale col scaldava fantasia concerto gabbiani fra canneti sussurri vellutati d'innamorati dea li proteggevi protegge vento potenti cancellato grano cresceva profanato cenere vecchio pino cerano fungo cemento sfida nome progresso s'inquina suolo nostalgia cambio energia avrai,Neutral
1544,Al Bano & Romina Power,Notte e giorno,stessa bella fiera nessuna fra stelle uno sballo guerra pace acqua fuoco eccitante travolgente qualcosa forse follia alchimia tante storie confesso perdo carta vincente vetta monte acqua pura l'acqua primavera selvaggia sensazione pioggia ghiaccio bollente meglio inferno intorno giusto gusto intrigante esigente dimmi posso spaccare rubare qualunque perdo l'odore d'incenso sensazione d'immenso troppo piccolo ormai primavera selvaggia sensazione pioggia ghiaccio bollente meglio carta vincente vetta monte acqua pura l'acqua siamo figli vento siamo raggi siamo fiocchi neve meglio perdo,Neutral
1545,Al Bano & Romina Power,Oggi sposi,passato vecchio dire dolore letto dormire metter mie speranze sopra nostro davanzale rossi tulipani ritornano sbocciare prima tornerai lungo strada attraversa curer carezze anima ferita guardandoci negli scopriremo dolcemente finta lasciarci servito chieder alla primavera fermarsi l'anno dar filtri d'amore trucchi inganno rientrare aiuter volermi bene fino all'ultimo primo sorridendo dolore vero anni passano siamo cambiati padroni destino forse meno innamorati speranza ritornare prima mano mano svegliammo mattina dai richiamiamo vecchi amici invitiamo parenti abiti eleganti forse pazzi felici gridiamo quanti aiuter volermi bene fino all'ultimo primo sorridendo dolore vero ritrovarsi stato bello mentre riposi salgo col pennello scrivo oggi sposi,Neutral
1546,Al Bano & Romina Power,Parigi è bella com'è,parigi bella com' col movimento arrivi orly primo bonjours salendo sopra taxi parigi bella com' vede dalla banlieue entrando porte d'italie seguendo traffico fino champselysees parigi bella qualche chiara l'atmosfera oppure parigi bella com' petit dejeuner andando sul bateaux mouche bevendo champagne guardando verso rive gauche parigi bella com' attraversata metr sera vestito pie chic tavolino lido parigi bella qualche chiara l'atmosfera oppure parigi bella qualche chiara l'atmosfera oppure parigi bella com' col movimento parti orly dicendo bonjours viaggio l'italie parigi bella com' l'ho scoperta quei souvenirs valigia aurevoir aux champselysees,Positive
1547,Al Bano & Romina Power,Perché,vai vai vai sentimenti li ripiegati messi cara amica l'inverno finisce ritornasse indietro primo bacio nascosto giorni dell'amore vanno li canceller quella certa innocenza sfugge trovi bambina foglie ingiallite ricoprono viali d'autunno ricordi d'amore lasciato ormai vai vai quanti anni scandisce com' lunga l'inverno finisce giorni dell'amore vanno li canceller com' lunga sera l'inverno finisce ore ore parlare soli aspettando primavere foglie ingiallite ricoprono viali d'autunno ricordi d'amore lasciato vai vai vai,Neutral
1548,Al Bano & Romina Power,Prima notte d'amore,prima d'amore fra paura pudore voglia lunghi silenzi spettinati vento caldo caffe romina prima d'amore folle danza stelle lassu gallo impazzito schiarito univa piu ero uomo ero insidiosa sera angelo soprattutto eloquente sguardo innocente vuole romina vestiti pelle abbronzata ricoprono ormai fantasia tenta nuovi modi m'invento perderti sicuro uomo d'amore fermare romina fantasia tenta nuovi modi m'invento perderti,Neutral
1549,Al Bano & Romina Power,Quando si ama,l'estate finir sulle spiagge torner gran silenzio pioggia bagner sabbia calda siamo amati colore dell'estate svanir dalla pelle avr posto accanto casa tornerai vacanza metterai ricordi valigia troverai profumo lasciai sui vestiti ascolterai nostro ballato quella discoteca chiss nostra intesa quella complicit dicevi facile dicevo anch'io volevo crederci perche ama cosi hanno mente lavoro abitudini mattina amici bar ritroverai parlerete donne prima qualche sera casualmente vedrai piena chiss proverai stesse cose stessa intensit dicevi facile dicevo anch'io volevo crederci perche ama cosi hanno mente,Neutral
1550,Al Bano & Romina Power,Quando un amore se ne va,l'orologio tre sto pensando sto pensando alla sera vai l'orologio chiss vola forte cresce dolce nostalgia attimo vuota citt piccolo quanti momenti ritornano guardi accorgi l'azzurro nuvole penso dirai alle cose farai ritornerai manchi sto accorgendo anch'io attimo vuota citt piccolo quanti momenti ritornano guardi accorgi l'azzurro nuvole guardi accorgi l'azzurro nuvole,Neutral
1551,Al Bano & Romina Power,Questa notte,buonasera mentre ritorni magia respiro raffinata poesia quartiere periferia buonasera alla stile apposta buonasera alla troppi segreti sveler stravagante stravagante dammi razzo partir abbagliante abbagliante fabbrica stelle dar l'alba fermer buonasera spegni quella tv m'importa degli indiani cowboy monologhi qualche carezza posto buonasera agli amici laggi capiranno scendi buonasera dia arie fuoco alla fantasia stravagante stravagante dammi razzo partir abbagliante abbagliante fabbrica stelle dar l'alba fermer un'esperienza magica fra braccia forti alto voler voler stravagante stravagante dammi razzo partir abbagliante abbagliante fabbrica stelle dar l'alba fermer,Neutral
1552,Al Bano & Romina Power,Resta ancora,resta attimo sogno finisce resta attimo voce parli svanisci nei ricordi fuoco riscaldami l'acqua dissetami solitudine resta attimo lungo treno ritorna passato resta attimo dimmi detto poco poco dimmelo sulla pelle imprimilo solitudine ama pu sfidare sembrare assurdo resta attimo guarda l'orizzonte accende fronte poco poco sveler chiss cambier resta resta,Neutral
1553,Al Bano & Romina Power,Santa Maria,lalba spruzz farina bianca sulla arriv cont stelle aspett respir pace quindi cerc voce strana atmosfera quella piazza fiori unalchimia solitudini colori lattesa rosa bianca lidea sposa davanti chiesa santa maria santa maria finch immenso paura dolore santa maria portalo tormento sottile violento spalanc porta cima quelle scale attravers strada grigia sale respir lincenso quindi cap limmenso singinocchi dicendo ave maria santa maria finch immenso paura dolore santa maria portalo tormento sottile violento santa maria lanima vuole arrivare allorizzonte totale santa maria lascia dolore mani,Neutral
1554,Al Bano & Romina Power,Sei tu,tempesta testa scossa mossa meta atleta domandarmi perche uomo speciale tristezza avr col terra dubbio spazio troverai all'amore mente crociera mongolfiera sabotaggio coraggio spiegarmi ama davvero speciale tristezza avr col terra dubbio spazio troverai all'amore mente,Neutral
1555,Al Bano & Romina Power,Sempre sempre,amarti meno invece oltre invece padrona volerti meno bella insistentemente mente insistente mente insistentemente voglia voglia voglia amarti meno bella insistentemente mente insistente mente insistentemente voglia voglia voglia insistentemente mente insistente mente insistentemente voglia voglia voglia,Neutral
1556,Al Bano & Romina Power,Sensazione meravigliosa,romina quante cose testa cerca capire troppe cose mente posso dire troppe cose avuto gira vedo girare vedo mille colori com' bello volare cerca fermarmi scendere sensazione meravigliosa cos' detto sentito parlare fammi provare sensazione meravigliosa cos' detto sentirti parlare fammi provare sensazione meravigliosa cos' detto sentito parlare fammi provare,Neutral
1557,Al Bano & Romina Power,Sentire ti amo,consuma gioia dolore pietre leviga pensa denaro all'odio piacere d'amare dov' giostra vende emozioni attrazioni fatali istinti bestiali vuole d'amare devi dirmi dov' dirti andare nessuno canta silenzio dov' libero dirti sapendo ch' vero parte ch' molto complesso fra lotte potere questioni sesso e' zoo paga brucia uomo vuole soltanto dirti andare nessuno canta silenzio dov' libero dire sapendo ch' vero sentire sapendo ch' vero dirti sapendo ch' vero,Neutral
1558,Al Bano & Romina Power,Settembre,guardi conosci modo volermi l'hai prender mano accompagner piccola conosci pelle cerchi quella porter dar bella settembre dipingi d'oro verde nata dicembre cui nasce sulla neve padre madre bambina scesa dalle stelle angelo canta uno siamo quelli cercavano momento sincerit bella settembre dipingi d'oro verde nata dicembre cui nasce sulla neve padre madre bella settembre dipingi d'oro verde nata dicembre cui nasce stenderemo sera coprirti,Neutral
1559,Al Bano & Romina Power,Se ti raccontassi,romina raccontassi cio mente dicessi cio penso veramente allora odierei amerei rifarei guardandomi stringendomi dopo incatenandomi parlandomi amandomi dopo arrendo raccontassi quella prima volta volta ripento invece resto odio resto perche guardandomi stringendomi cosi dopo incatenandomi dopo arrendo,Neutral
1560,Al Bano & Romina Power,Sharazan,bambino sognai divi eroi marinai mente avevo idea libert bambina stretta braccia idea libert sharazan sharazan voglia volare sognare modo giusto amare sharazan sharazan paradiso felicit sharazan sharazan ali azzure volare scoprire posto giusto amare sharazan sharazan felicit estate sharazan giardino anni cercato sognato tanto l'ho trovato inventato dai soltanto stringi sharazan sharazan voglia volare sognare modo giusto amare sharazan sharazan paradiso felicit troverai sharazan sharazan sharazan ali azzure volare volare verso credendo nell'amore sharazan sharazan felicit estate sharazan,Neutral
1561,Al Bano & Romina Power,Storia di due innamorati,pioggia d'estate cadi paese nascosto monti ripensare passato all'amore perduto avevi pioggia d'estate bagni sguardo piange sul lido ripensare passato all'amore perduto avevi sogni proibiti innamorati sogni proibiti sognati ritrovare strada porta porta ritrovare strada porta porta suon chitarra porti sorriso porti gioia l'ha sogno par sentir voce torna sogni proibiti innamorati sogni proibiti sognati ritrovare strada porta porta ritrovare strada porta porta ritrovare strada porta porta,Neutral
1562,Al Bano & Romina Power,Tenerissima,vela scivola delfino sua scia corallo marea affiora appena un'idea tenerissima tenerissima sorvolando malinconie tempi grigi assurde follie cercare nuove energie pace interiore tenerissima tenerissima stringimi fammi sentire vento spinge l'immenso respiro altro futuro navigare parte foschia accende sogni pretende tenerissima tenerissima stringimi fammi sentire vento spinge l'immenso respiro altro futuro navigare parte foschia accende sogni vela scivola,Neutral
1563,Al Bano & Romina Power,Tenero e testardo,vai guidare giusto provare quanto quanto vale fantasia vai tenero testardo stessa razza sguardo ritrovo perdo questi anni siamo fatti buona compagnia buon viaggio figlio casa casa perci metti traguardo energia assurdo andremo d'accordo telefono aperti figlio casa dirti buttarti buttarti vai guidare giusto tornare lei impazzire spia questi anni siam fatti buona compagnia buon viaggio figlio buttarti,Neutral
1564,Al Bano & Romina Power,Torneremo a Venezia,torneremo venezia vorrai scopriremo amanti chiusi miele acqua foschia piazza marco librerie soli fra tanti cuori amanti fra evasione realt stanza vista sulla laguna nebbia d'autunno giochi capolavoro fra mie braccia eri eri torneremo venezia vorrai svegliare amanti chiusi fermare tramonto annullarci nell'immensit momento d'amore gondole pigre sul vecchio canale fiori nell'acqua segnale un'elegia magia sera piena d'intarsi color pastello cieli sfumati cristallo quasi l'alba spengo venezia torneremo venezia vorrai svegliare amanti chiusi fermare tramonto annullarci nell'immensit momento d'amore,Neutral
1565,Al Bano & Romina Power,Tu perdonami,romina sto pensando lungo viaggio ormai miraggio rileggo quella poesia letto mille volte sola ormai sto pensando quell'idea dignitosa strada polverosa rimprovero l'immaturit saper gestire molte altre verit perdonami volte detto banalit perdonami tenerezza eravamo felicit perdonami finta severit perdonami troppa perdonami manchi perdonami manchi sto pensando cercando filo racconto nell'oro acceso tramonto irraggiungibile serenit parte ormai molte altre verit perdonami volte detto banalit perdonami tenerezza eravamo felicit perdonami finta severit perdonami troppa perdonami manchi perdonami manchi perdonami perdonami perdonami manchi manchi,Neutral
